nom|entrepriseAdaptee|description|url|logo
Boulangeries SOPHIE LEBREUILLY|False|En plein développement, les boulangeries Sophie LEBREUILLY comptent plus de 60 boulangeries. Notre mission est de proposer à nos clients du pain et des gourmandises de qualité, accessibles à tous, pour tous les goûts, toute la journée. Nos boulangeries sont des lieux de convivialité où la gourmandise se partage et rassemble. Au service des familles de gourmands, nous sommes facilement identifiables et accessibles, ouverts toute la semaine, du lundi au dimanche et en continu du matin au soir.||
EHPAD CAMOUS-SALOMON|False|||
SARL L. CHALLON|False|||
LUCKY-VIP|False|||
SAMSIC II|False|||
PATISSERIE DEGRAEVE|False|||
ASSOCIATION HOSPITALIERE DE MOZE|False|"Hôpital de Moze - 07 320 SAINT AGREVE - de 105 lits : EHPAD (80 lits), Médecine (8 lits), SSR (17 lits) , Centre Périnatal de Proximité, Consultations spécialisées et Centre de Consultations Non Programmées.

Situé à la limite de l'Ardèche et de la Haute-Loire, à 50 minutes d'Annonay, de Saint-Etienne, du Puy en Velay et de Valence, l'établissement est dans un village d'environ 2800 habitants disposant d'écoles et collèges.

"|https://ville-saintagreve.fr/Hopital-de-Moze|
ENTHALPIA RHONE ALPES|False|||
CENTRE SERVICES|False|Centre Services Aubenas est une agence de service à la personne qui propose des solutions d'aide à domicile personnalisées et facilite le quotidien de ses clients grâce à des intervenants qualifiés. L'état d'esprit de Centre Service est basé sur le respect de chacun. Nos métiers favorisent une grande proximité avec nos clients, le respect est donc la base incontournable des échanges.||
OXILIA|False|Oxilia, est une agence digitale d'aide à domicile pour personnes âgées. Pour en savoir plus : www.oxilia.fr||
MANPOWER|False|"Faites confiance à Manpower, votre partenaire emploi :
- Des opportunités nombreuses et diversifiées
- Une expertise RH et des conseils emploi
- Une employabilité durable avec le programme MyPath® 
- Des démarches facilitées 
- Des avantages et des services"||
ARDECHE AUTONOMIE A DOMICILE|False|||https://api.francetravail.fr/exp-rechercheoffre/v1/logo-entreprise/39ce68d6-4efc-4f27-b647-8abd8529a299
SAS DESCOURS|False|||
"""R.G. ALUMINIUM"""|False|||
SOCIETE BRESSANE DE TRAVAUX PUBLICS|False|"Avec 160 collaborateurs, SBTP réalise un chiffre d'affaires de plus de 15 M et plus de 400km de réseaux par an sur ses différents chantiers :
- Etude et pose de réseaux électricité BT et HTA souterrains et aériens
- Etude et pose de réseaux gaz Pe et acier
- Eclairage public
- Enfouissement de réseaux de télécommunication et fibre optique
- Pose de réseaux d'assainissements, d'adduction d'eau et d'irrigation, par fonçage et forage
- Viabilité de lotissements"||
STAND DEPARTEMENT DE L'ARDECHE|False|||
RANDSTAD|False|"Chez Randstad, nous sommes convaincus que chaque emploi est une opportunité de se réaliser. Notre mission : vous aider à trouver le poste qui correspond à vos attentes.

De plus, notre expertise transversale en recrutement vous permettra de maximiser vos chances de trouver le poste idéal."||https://api.francetravail.fr/exp-rechercheoffre/v1/logo-entreprise/GeJS8JfuzUqxG5qnFen1zrrd0Qlqadin
ANEF - VDR|False|"Présentation de l'association :
L'association ANEF Vallée du Rhône, association loi 1901 reconnue d'utilité publique accompagne plus de 10 000 usagers en file active au sein de 14 établissements et services déployés en Drôme-Ardèche.
L'association met en oeuvre différents dispositifs dans le champ de la protection de l'enfance et de l'insertion par le logement grâce à une équipe de plus de 180 salariés.."||
FREGATE AERO|False|FREGATE AERO, entreprise industrielle de 200 personnes, spécialisée dans la fabrication de sous-ensembles de structure métallique pour aéronefs, diversifiée dans des activités civiles, militaires et parapubliques et fournisseur de grands donneurs d ordres comme Dassault, Airbus et Safran.|http://www.fregate-aero.com/|
FREGATE AERO|False|FREGATE AERO, entreprise industrielle de 200 personnes, spécialisée dans la fabrication de sous-ensembles de structure métallique pour aéronefs, diversifiée dans des activités civiles, militaires et parapubliques et fournisseur de grands donneurs d ordres comme Dassault, Airbus et Safran.||
adopt'|False|Adopt Parfums est un concept unique autour de trois univers : le parfum, le maquillage et l'accessoire de mode.||
BOUCHERIE BORRELY|False|||
ASSOCIATION DE GESTION DE LA SMAC ARDECH|False|||
SNCM|False|||
LE CARRE D'ALETHIUS|False|||
LE MOULIN DE BRUNO|False|||
ROADY|False|"Centre Auto ROADY, présente sur toute la France avec son réseau de 150 magasins spécialisés dans l'entretien et la réparation des véhicules  automobiles, ventes de pièces de rechange et accessoires. 
"|https://www.roady.fr/segalauto|
MENUISEA|False|||
CLINIQUE PASTEUR|False|||
SAMTRAVAUX07|False|||
GUILLAUME NETTOYAGE|False|||
O.G.E.C. ST DENIS|False|||
FIC|False|||
FIDU.MONTPELLIER|False|||
SEYA|False|Le groupe Seya a pour mission de développer la production de biogaz agricole et de mettre à disposition tous les moyens nécessaires pour faciliter son déploiement.||
PRIVAS AUTO CONTROLE|False|||
ASOLTECH DURAND|False|||
ARDECHE AUTONOMIE A DOMICILE|False|"L'AAD Ardèche Aide à Domicile   est une association à but non lucratif au service des ardéchois.
Ardèche Aide à Domicile (AAD) accompagne toutes les personnes qui en ressentent le besoin pour leur permettre de mieux vivre leur quotidien à domicile.
Aujourd'hui l'AAD couvre plus de la moitié du département : Le siège de l'Association est basé à Privas avec 12 antennes locales, 500 salariés et près de 5000 bénéficiaires pour 500 000 heures d'intervention au quotidien."|http://www.aad07.fr|https://api.francetravail.fr/exp-rechercheoffre/v1/logo-entreprise/39ce68d6-4efc-4f27-b647-8abd8529a299
RANDSTAD|False|"Randstad Search, Cabinet Conseil en Recrutement et Approche directe, intervient dans la recherche et l'évaluation des profils Middle et Top Management. Le cabinet est présent dans les principales métropoles françaises.
Les consultants du Pôle Ingénierie & Industries mettent à votre service leur expertise métier pour vous accompagner au mieux dans votre évolution professionnelle."||https://api.francetravail.fr/exp-rechercheoffre/v1/logo-entreprise/ptEzTQfQVIMs8pRHhznNQKIgLbbTjK8M
LFE TRANSPORTS|False|"LFE Transports est un société de transport frigorifique, primeur et industrielle.
"||
CAPEB 07|False|CAPEB||
ADEQUAT 011.|False|"Adéquat, c'est la société de travail temporaire et de recrutement préférée des intérimaires avec un taux de satisfaction de 94,5%.

Plus de 350 agences en France pour vous accompagner dans votre recherche d'emploi (intérim, CDD, CDI, CDI Intérimaire) dans tous les secteurs d'activité : Industrie, Logistique, Transport, BTP, Tertiaire.

Dans le cadre de sa politique Diversité et RSE, à compétences égales, toutes nos annonces sont ouvertes aux personnes en situation de handicap."||
ADECCO|False|||https://api.francetravail.fr/exp-rechercheoffre/v1/logo-entreprise/ccCJ1rOjn0xPf3L3vdY3xEZCuIleuXqb
AUTOCARS CHABANNES|False|||
SAMSIC PROPRETE|False|||
CYPACK|False|la société CYPACK est en pleine expansion, elle fabrique des machines automatisées d'emballage dans le domaine de l'agro-alimentaire, à savoir des machines performantes, compactes et sécurisés avec une grande autonomie de production. Nous proposons des solutions efficaces de transition écologique pour les emballages plastique.|http://www.cypack-packaging.com|
EXPANSION 07 TOURNON SUR RHONE|False|||
 FCA|False|||
LYNX RH SERVICES|False|||
COLLEGE LOUIS JOUVET|False|||
WILLY MENUISERIE|False||https://wmcreator.com|
ACMARIS|False|"Fort d'une expérience de plus de 25 ans, notre entreprise s'adapte aux besoins des clients dans divers domaines : analyses, recherche & développement agro-alimentaires, eau dont légionelles, environnement, pharmaceutique et cosmétique, autres, dans différents domaines de spécialité (microbiologie (bactéries, fongiques, virus, parasites), physico chimie, biologie moléculaire).
"||
CER FRANCE ARDECHE|False|||
ADIS|False|G.I.E. ADIS, 4 sociétés, 120 collaborateurs, acteur majeur du secteur social en Drôme-Ardèche dans le domaine du logement (Constructeurs de logements locatifs sociaux, Accession, Maisons Individuelles, Syndic de Copropriété), certifié ISO 9001.||
RANDSTAD|False|Randstad Search, Cabinet Conseil en Recrutement et Approche directe, intervient dans la recherche et l'évaluation des profils Middle et Top Management.||https://api.francetravail.fr/exp-rechercheoffre/v1/logo-entreprise/ptEzTQfQVIMs8pRHhznNQKIgLbbTjK8M
CRB CLEAN SERVICE|False|||
Centre Hospitalier du Cheylard|False|C.H de proximité disposant d'un EHPAD et d'un secteur MED/SSR||
PROMAN|False|||https://api.francetravail.fr/exp-rechercheoffre/v1/logo-entreprise/O7vIMVCv434KWFKJkLX5vrcYFz5uAhH2
BP MENUISERIES|False|||
EHPAD RESIDENCE LES MYRTILLES|False|"EHPAD de 83 lits 
Situé en centre Ardèche avec une équipe de 60 agents. 
Jardin thérapeutique
**Possibilité de logement sur place**"||
RANDSTAD|False|Randstad vous ouvre toutes les portes de l'emploi : intérim, CDD, CDI. Chaque année, 330 000 collaborateurs (f/h) travaillent dans nos 60 000 entreprises clientes. ||https://api.francetravail.fr/exp-rechercheoffre/v1/logo-entreprise/UpGDMGozwNQjI3FMKffrOaeHSDvoSdGi
LE PETIT MALVINOIS|False|||https://api.francetravail.fr/exp-rechercheoffre/v1/logo-entreprise/6xZewYmFRfnpOQBG52ne8B7z0vt1wCOV
EHPAD CAMOUS-SALOMON|False|"https://youtu.be/JPC55pQPV_Y

EHPAD autonome Fonction Publique Hospitalière dans un contexte de soins priorisant l'Humanitude
SEGUR appliqué 
95 agents
107 Lits dont : 
une Unité Sécurisée de 14 lits
un Pasa accueillant 14 résidents.
"||
RHEFERENCE INDUSTRIE|False|"RHEFERENCE, cabinet de recrutement spécialisé sur les profils techniques de l'industrie, recherche pour l'un de ses clients un chef d'équipe chaudronnier H/F.
Cette PME très dynamique et en croissance , de 35 salariés, basée dans la région de Lens est spécialisée dans la fabrication en atelier, de matériel de chaudronnerie, tuyauterie et montage sur site.
Elle intervient dans toute la France et à l'étranger."||
ASSOCIATION DES ITEP DE L'ARDECHE|False|"L Association des ITEP de l Ardèche (A.I.A), gère 3 Dispositifs ITEP sur le Département Ardéchois :
- Le DITEP du Home Vivarois situé à Ucel et son antenne située à Aubenas :
- Le DITEP Pont Brillant situé à Saint Marcel d'Ardèche et son antenne située au Teil ;
- Le DITEP Eole situé à Eclassan.

L A.I.A accueille environ 236 jeunes de 6 à 20 ans présentant des troubles psychiques, troubles du comportement et collabore avec environ 130 salariés.
"||
SUCHIER SAS|False|||
 ECOLE DE CONDUITE NOUVELLE|False|||
TINES|False|||
PALFINGER CENTRE DE MONTAGE 07|False|||
CARROSSERIE JARJAT|False|||
